epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.1514,0,54.4277,0,0,0,0,0,0,98.8428,0,0.00056,0.00056,0.00056
2,136.047,0,39.7894,0,0,0,0,0,0,50.2823,0,0.00111743,0.00111743,0.00111743
3,193.677,0,33.8026,0,0,0,0,0,0,50.6003,0,0.00165189,0.00165189,0.00165189
4,270.681,0,30.1862,0,0,0,0,0,0,53.6635,0,0.0018812,0.0018812,0.0018812
5,347.087,0,26.8077,0,0,0,0,0,0,44.1789,0,0.0018416,0.0018416,0.0018416
6,422.272,0,23.6364,0,0,0,0,0,0,34.8677,0,0.001802,0.001802,0.001802
7,499.801,0,20.9187,0,0,0,0,0,0,32.1978,0,0.0017624,0.0017624,0.0017624
8,577.59,0,18.2787,0,0,0,0,0,0,27.5729,0,0.0017228,0.0017228,0.0017228
9,623.392,0,15.9984,0,0,0,0,0,0,26.0169,0,0.0016832,0.0016832,0.0016832
10,651.892,0,13.9321,0,0,0,0,0,0,22.795,0,0.0016436,0.0016436,0.0016436
11,680.321,0,12.1871,0,0,0,0,0,0,20.0561,0,0.001604,0.001604,0.001604
12,708.656,0,10.6884,0,0,0,0,0,0,17.407,0,0.0015644,0.0015644,0.0015644
13,736.878,0,9.26139,0,0,0,0,0,0,15.6616,0,0.0015248,0.0015248,0.0015248
14,765.22,0,8.06679,0,0,0,0,0,0,13.2923,0,0.0014852,0.0014852,0.0014852
15,793.648,0,7.01292,0,0,0,0,0,0,11.6715,0,0.0014456,0.0014456,0.0014456
16,822.021,0,6.05757,0,0,0,0,0,0,10.0648,0,0.001406,0.001406,0.001406
17,850.558,0,5.26718,0,0,0,0,0,0,8.75922,0,0.0013664,0.0013664,0.0013664
18,905.264,0,4.57584,0,0,0,0,0,0,7.27241,0,0.0013268,0.0013268,0.0013268
19,982.961,0,3.97598,0,0,0,0,0,0,6.5027,0,0.0012872,0.0012872,0.0012872
20,1061.85,0,3.46751,0,0,0,0,0,0,5.50674,0,0.0012476,0.0012476,0.0012476
21,1142.39,0,3.03226,0,0,0,0,0,0,4.76515,0,0.001208,0.001208,0.001208
22,1223.34,0,2.6533,0,0,0,0,0,0,4.42161,0,0.0011684,0.0011684,0.0011684
23,1266.59,0,2.32357,0,0,0,0,0,0,3.82394,0,0.0011288,0.0011288,0.0011288
24,1294.32,0,2.04027,0,0,0,0,0,0,3.48378,0,0.0010892,0.0010892,0.0010892
25,1322.01,0,1.80424,0,0,0,0,0,0,2.88403,0,0.0010496,0.0010496,0.0010496
26,1349.98,0,1.59713,0,0,0,0,0,0,2.70753,0,0.00101,0.00101,0.00101
27,1378.04,0,1.41424,0,0,0,0,0,0,2.32632,0,0.0009704,0.0009704,0.0009704
28,1406.17,0,1.26004,0,0,0,0,0,0,2.03241,0,0.0009308,0.0009308,0.0009308
29,1434.4,0,1.13102,0,0,0,0,0,0,1.9023,0,0.0008912,0.0008912,0.0008912
30,1462.99,0,1.02164,0,0,0,0,0,0,1.6701,0,0.0008516,0.0008516,0.0008516
31,1491.23,0,0.9186,0,0,0,0,0,0,1.48454,0,0.000812,0.000812,0.000812
32,1519.68,0,0.82855,0,0,0,0,0,0,1.30681,0,0.0007724,0.0007724,0.0007724
33,1548.44,0,0.75447,0,0,0,0,0,0,6.71099,0,0.0007328,0.0007328,0.0007328
34,1577.63,0,0.68765,0,0,0,0,0,0,4.72531,0,0.0006932,0.0006932,0.0006932
35,1606.4,0,0.63322,0,0,0,0,0,0,1.04834,0,0.0006536,0.0006536,0.0006536
36,1634.97,0,0.58137,0,0,0,0,0,0,0.8814,0,0.000614,0.000614,0.000614
37,1663.95,0,0.53483,0,0,0,0,0,0,0.86265,0,0.0005744,0.0005744,0.0005744
38,1692.13,0,0.49559,0,0,0,0,0,0,0.81942,0,0.0005348,0.0005348,0.0005348
39,1720.38,0,0.46291,0,0,0,0,0,0,0.74768,0,0.0004952,0.0004952,0.0004952
40,1748.51,0,0.43382,0,0,0,0,0,0,1.19386,0,0.0004556,0.0004556,0.0004556
41,1776.62,0,0.40814,0,0,0,0,0,0,15.058,0,0.000416,0.000416,0.000416
42,1804.46,0,0.38876,0,0,0,0,0,0,11.7414,0,0.0003764,0.0003764,0.0003764
43,1832.51,0,0.36898,0,0,0,0,0,0,0.63158,0,0.0003368,0.0003368,0.0003368
44,1861.43,0,0.35283,0,0,0,0,0,0,0.57872,0,0.0002972,0.0002972,0.0002972
45,1890.33,0,0.34128,0,0,0,0,0,0,0.57352,0,0.0002576,0.0002576,0.0002576
46,1918.43,0,0.328,0,0,0,0,0,0,0.54718,0,0.000218,0.000218,0.000218
47,1946.18,0,0.31924,0,0,0,0,0,0,0.52093,0,0.0001784,0.0001784,0.0001784
48,1974.08,0,0.31099,0,0,0,0,0,0,0.51162,0,0.0001388,0.0001388,0.0001388
49,2002.45,0,0.30702,0,0,0,0,0,0,0.51048,0,9.92e-05,9.92e-05,9.92e-05
50,2031.27,0,0.30163,0,0,0,0,0,0,0.65504,0,5.96e-05,5.96e-05,5.96e-05
