epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7733,0,112.209,0,0,0,0,0,0,197.78,0,0.00028,0.00028,0.00028
2,59.5967,0,87.3194,0,0,0,0,0,0,191.447,0,0.000574258,0.000574258,0.000574258
3,89.3272,0,71.8611,0,0,0,0,0,0,101.1,0,0.000862576,0.000862576,0.000862576
4,118.436,0,63.7843,0,0,0,0,0,0,102.388,0,0.00114495,0.00114495,0.00114495
5,147.84,0,58.2145,0,0,0,0,0,0,90.5268,0,0.00142139,0.00142139,0.00142139
6,177.403,0,50.8655,0,0,0,0,0,0,73.7382,0,0.00169189,0.00169189,0.00169189
7,205.797,0,44.9167,0,0,0,0,0,0,29.0459,0,0.0018812,0.0018812,0.0018812
8,234.043,0,38.915,0,0,0,0,0,0,71.263,0,0.0018614,0.0018614,0.0018614
9,262.227,0,33.6938,0,0,0,0,0,0,55.1122,0,0.0018416,0.0018416,0.0018416
10,290.893,0,29.1319,0,0,0,0,0,0,47.0147,0,0.0018218,0.0018218,0.0018218
11,321.308,0,24.9405,0,0,0,0,0,0,41.8696,0,0.001802,0.001802,0.001802
12,350.826,0,21.2327,0,0,0,0,0,0,38.2567,0,0.0017822,0.0017822,0.0017822
13,379.431,0,18.5266,0,0,0,0,0,0,32.3744,0,0.0017624,0.0017624,0.0017624
14,408.752,0,15.5425,0,0,0,0,0,0,26.4811,0,0.0017426,0.0017426,0.0017426
15,438.067,0,13.0556,0,0,0,0,0,0,18.7985,0,0.0017228,0.0017228,0.0017228
16,467.586,0,10.991,0,0,0,0,0,0,15.1593,0,0.001703,0.001703,0.001703
17,497.333,0,9.08411,0,0,0,0,0,0,13.442,0,0.0016832,0.0016832,0.0016832
18,527.148,0,7.51161,0,0,0,0,0,0,10.7239,0,0.0016634,0.0016634,0.0016634
19,556.877,0,6.21343,0,0,0,0,0,0,9.52267,0,0.0016436,0.0016436,0.0016436
20,586.352,0,5.08594,0,0,0,0,0,0,8.8757,0,0.0016238,0.0016238,0.0016238
21,615.852,0,4.16005,0,0,0,0,0,0,7.61081,0,0.001604,0.001604,0.001604
22,645.813,0,3.39972,0,0,0,0,0,0,6.105,0,0.0015842,0.0015842,0.0015842
23,676.182,0,2.77145,0,0,0,0,0,0,5.17222,0,0.0015644,0.0015644,0.0015644
24,705.762,0,2.24395,0,0,0,0,0,0,4.00946,0,0.0015446,0.0015446,0.0015446
25,735.846,0,1.81471,0,0,0,0,0,0,3.24241,0,0.0015248,0.0015248,0.0015248
26,808.512,0,1.47741,0,0,0,0,0,0,2.46034,0,0.001505,0.001505,0.001505
27,881.384,0,1.18768,0,0,0,0,0,0,2.58104,0,0.0014852,0.0014852,0.0014852
28,954.769,0,0.96114,0,0,0,0,0,0,1.57725,0,0.0014654,0.0014654,0.0014654
29,1030.32,0,0.78172,0,0,0,0,0,0,1.27003,0,0.0014456,0.0014456,0.0014456
30,1106.02,0,0.63095,0,0,0,0,0,0,21.607,0,0.0014258,0.0014258,0.0014258
31,1181.3,0,0.50877,0,0,0,0,0,0,23.2209,0,0.001406,0.001406,0.001406
32,1235.52,0,0.41152,0,0,0,0,0,0,0.75064,0,0.0013862,0.0013862,0.0013862
33,1265.63,0,0.32487,0,0,0,0,0,0,0.5537,0,0.0013664,0.0013664,0.0013664
34,1294.64,0,0.2692,0,0,0,0,0,0,0.49117,0,0.0013466,0.0013466,0.0013466
35,1323.64,0,0.22225,0,0,0,0,0,0,0.41265,0,0.0013268,0.0013268,0.0013268
36,1353.49,0,0.17691,0,0,0,0,0,0,0.26945,0,0.001307,0.001307,0.001307
37,1406.42,0,0.14567,0,0,0,0,0,0,0.24443,0,0.0012872,0.0012872,0.0012872
38,1434.9,0,0.12742,0,0,0,0,0,0,0.19664,0,0.0012674,0.0012674,0.0012674
39,1463.87,0,0.11139,0,0,0,0,0,0,0.15254,0,0.0012476,0.0012476,0.0012476
40,1493.63,0,0.09001,0,0,0,0,0,0,0.15793,0,0.0012278,0.0012278,0.0012278
41,1523.77,0,0.05558,0,0,0,0,0,0,0.05245,0,0.001208,0.001208,0.001208
42,1553.65,0,0.03754,0,0,0,0,0,0,0.04472,0,0.0011882,0.0011882,0.0011882
43,1584.13,0,0.03001,0,0,0,0,0,0,0.03304,0,0.0011684,0.0011684,0.0011684
44,1614.57,0,0.02625,0,0,0,0,0,0,0.01119,0,0.0011486,0.0011486,0.0011486
45,1645.36,0,0.02387,0,0,0,0,0,0,0.01511,0,0.0011288,0.0011288,0.0011288
46,1676.08,0,0.02177,0,0,0,0,0,0,0.01605,0,0.001109,0.001109,0.001109
47,1706.29,0,0.02046,0,0,0,0,0,0,0.0121,0,0.0010892,0.0010892,0.0010892
48,1736.81,0,0.0167,0,0,0,0,0,0,0.01272,0,0.0010694,0.0010694,0.0010694
49,1765.92,0,0.01274,0,0,0,0,0,0,0.02405,0,0.0010496,0.0010496,0.0010496
50,1795.77,0,0.00883,0,0,0,0,0,0,0.00596,0,0.0010298,0.0010298,0.0010298
51,1824.75,0,0.00734,0,0,0,0,0,0,0.00882,0,0.00101,0.00101,0.00101
52,1855.44,0,0.00586,0,0,0,0,0,0,0.00544,0,0.0009902,0.0009902,0.0009902
53,1889.6,0,0.00568,0,0,0,0,0,0,0.00578,0,0.0009704,0.0009704,0.0009704
54,1962.85,0,0.00547,0,0,0,0,0,0,0.00572,0,0.0009506,0.0009506,0.0009506
55,2035.77,0,0.00499,0,0,0,0,0,0,0.00526,0,0.0009308,0.0009308,0.0009308
56,2069.31,0,0.00448,0,0,0,0,0,0,0.00573,0,0.000911,0.000911,0.000911
57,2097.48,0,0.0039,0,0,0,0,0,0,0.00533,0,0.0008912,0.0008912,0.0008912
58,2126.11,0,0.00357,0,0,0,0,0,0,0.00511,0,0.0008714,0.0008714,0.0008714
59,2154.62,0,0.00307,0,0,0,0,0,0,0.0051,0,0.0008516,0.0008516,0.0008516
60,2182.99,0,0.00301,0,0,0,0,0,0,0.00509,0,0.0008318,0.0008318,0.0008318
61,2211.11,0,0.00294,0,0,0,0,0,0,0.00509,0,0.000812,0.000812,0.000812
62,2239.59,0,0.00292,0,0,0,0,0,0,0.00505,0,0.0007922,0.0007922,0.0007922
63,2268.18,0,0.00292,0,0,0,0,0,0,0.00505,0,0.0007724,0.0007724,0.0007724
64,2296.44,0,0.00291,0,0,0,0,0,0,0.00505,0,0.0007526,0.0007526,0.0007526
65,2325.01,0,0.00291,0,0,0,0,0,0,0.00505,0,0.0007328,0.0007328,0.0007328
66,2354.26,0,0.0029,0,0,0,0,0,0,0.00505,0,0.000713,0.000713,0.000713
67,2382.81,0,0.0029,0,0,0,0,0,0,0.00505,0,0.0006932,0.0006932,0.0006932
68,2411.58,0,0.0029,0,0,0,0,0,0,0.00504,0,0.0006734,0.0006734,0.0006734
69,2440.24,0,0.00291,0,0,0,0,0,0,0.00505,0,0.0006536,0.0006536,0.0006536
70,2468.85,0,0.0029,0,0,0,0,0,0,0.00505,0,0.0006338,0.0006338,0.0006338
71,2497.48,0,0.0029,0,0,0,0,0,0,0.00505,0,0.000614,0.000614,0.000614
72,2526.12,0,0.0029,0,0,0,0,0,0,0.00505,0,0.0005942,0.0005942,0.0005942
73,2554.83,0,0.0029,0,0,0,0,0,0,0.00505,0,0.0005744,0.0005744,0.0005744
74,2583.48,0,0.0029,0,0,0,0,0,0,0.00505,0,0.0005546,0.0005546,0.0005546
75,2612.18,0,0.0029,0,0,0,0,0,0,0.00505,0,0.0005348,0.0005348,0.0005348
