epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4423,0,57.7303,0,0,0,0,0,0,99.1208,0,0.00046676,0.00046676,0.00046676
2,59.6386,0,46.4468,0,0,0,0,0,0,70.1916,0,0.000918834,0.000918834,0.000918834
3,88.075,0,40.9581,0,0,0,0,0,0,56.6086,0,0.001339,0.001339,0.001339
4,116.488,0,37.6366,0,0,0,0,0,0,50.5376,0,0.00150197,0.00150197,0.00150197
5,145.152,0,34.5427,0,0,0,0,0,0,48.2731,0,0.00144696,0.00144696,0.00144696
6,173.842,0,31.5601,0,0,0,0,0,0,47.6738,0,0.00139195,0.00139195,0.00139195
7,202.603,0,28.8757,0,0,0,0,0,0,46.4038,0,0.00133693,0.00133693,0.00133693
8,231.262,0,26.3477,0,0,0,0,0,0,42.7202,0,0.00128192,0.00128192,0.00128192
9,259.969,0,24.1312,0,0,0,0,0,0,40.1605,0,0.00122691,0.00122691,0.00122691
10,289.064,0,22.1776,0,0,0,0,0,0,37.2998,0,0.0011719,0.0011719,0.0011719
11,317.972,0,20.3273,0,0,0,0,0,0,31.4363,0,0.00111689,0.00111689,0.00111689
12,359.978,0,18.7471,0,0,0,0,0,0,30.2375,0,0.00106188,0.00106188,0.00106188
13,389.838,0,17.2743,0,0,0,0,0,0,26.1242,0,0.00100687,0.00100687,0.00100687
14,419.805,0,15.9675,0,0,0,0,0,0,24.7409,0,0.000951857,0.000951857,0.000951857
15,448.884,0,14.8061,0,0,0,0,0,0,23.2046,0,0.000896846,0.000896846,0.000896846
16,477.469,0,13.763,0,0,0,0,0,0,21.5877,0,0.000841835,0.000841835,0.000841835
17,506.075,0,12.8489,0,0,0,0,0,0,21.3489,0,0.000786824,0.000786824,0.000786824
18,535.24,0,12.017,0,0,0,0,0,0,20.8573,0,0.000731813,0.000731813,0.000731813
19,564.491,0,11.3109,0,0,0,0,0,0,18.1606,0,0.000676802,0.000676802,0.000676802
20,593.396,0,10.6855,0,0,0,0,0,0,16.5262,0,0.000621791,0.000621791,0.000621791
21,646.602,0,10.1983,0,0,0,0,0,0,15.7377,0,0.00056678,0.00056678,0.00056678
22,722.367,0,9.67795,0,0,0,0,0,0,15.7032,0,0.000511769,0.000511769,0.000511769
23,799.017,0,9.24943,0,0,0,0,0,0,15.3706,0,0.000456758,0.000456758,0.000456758
24,874.864,0,8.88023,0,0,0,0,0,0,14.7259,0,0.000401747,0.000401747,0.000401747
25,935.83,0,8.60182,0,0,0,0,0,0,14.3094,0,0.000346736,0.000346736,0.000346736
26,1012.84,0,8.34484,0,0,0,0,0,0,13.8084,0,0.000291725,0.000291725,0.000291725
27,1090.36,0,8.14038,0,0,0,0,0,0,13.38,0,0.000236714,0.000236714,0.000236714
28,1166.52,0,7.98019,0,0,0,0,0,0,13.1153,0,0.000181703,0.000181703,0.000181703
29,1212.64,0,7.86926,0,0,0,0,0,0,13.0846,0,0.000126692,0.000126692,0.000126692
30,1240.98,0,7.79507,0,0,0,0,0,0,13.0761,0,7.1681e-05,7.1681e-05,7.1681e-05
